iter	MultiClassOneVsAll
0	0.6807652288
1	0.6676206883
2	0.6542533428
3	0.6415942285
4	0.6289735052
5	0.6179243646
6	0.6064385986
7	0.5963364243
8	0.5858921557
9	0.5772173405
10	0.5683185696
11	0.5594309674
12	0.5505930383
13	0.5428086906
14	0.5352075288
15	0.5283002093
16	0.5221550372
17	0.5156519247
18	0.5092628358
19	0.5031678324
20	0.4978244861
21	0.4917227255
22	0.4861433028
23	0.4805474639
24	0.4747665083
25	0.469764953
26	0.46460799
27	0.4601754584
28	0.4557666084
29	0.4516425202
30	0.4470701592
31	0.4428761858
32	0.4387681766
33	0.4345672038
34	0.4308733181
35	0.4271053743
36	0.4233250813
37	0.4193990627
38	0.4166542257
39	0.4139379879
40	0.4101259243
41	0.4068835105
42	0.4036062635
43	0.4005614631
44	0.3978782318
45	0.3953733952
46	0.3926124931
47	0.3902142233
48	0.387775069
49	0.3849014917
50	0.3826175591
51	0.3806289992
52	0.3783334668
53	0.3759361309
54	0.3738267896
55	0.3716899124
56	0.3696234881
57	0.36773232
58	0.3654862401
59	0.3633249629
60	0.3616209492
61	0.3607945691
62	0.3587690149
63	0.3570216886
64	0.3553616036
65	0.3538655153
66	0.3524229726
67	0.3509719037
68	0.349009838
69	0.3475031826
70	0.346477429
71	0.34512759
72	0.3440868228
73	0.3425939495
74	0.3411715096
75	0.3401893662
76	0.338597938
77	0.3374492192
78	0.3359995856
79	0.3350171797
80	0.333954456
81	0.3327415331
82	0.3316923134
83	0.33052724
84	0.3298209079
85	0.3289554736
86	0.327924978
87	0.326955765
88	0.3261171802
89	0.3251242682
90	0.3242539444
91	0.3232528073
92	0.3224962064
93	0.3215844363
94	0.3206527751
95	0.3200500271
96	0.3193620542
97	0.3185723008
98	0.3178763425
99	0.3172078223
100	0.316457058
101	0.3161045963
102	0.3150510022
103	0.3144661916
104	0.3137760213
105	0.3131462996
106	0.3125614377
107	0.3115970562
108	0.3107876589
109	0.3100351415
110	0.3091641196
111	0.3084965293
112	0.3075574054
113	0.3069263252
114	0.3061886906
115	0.3051214317
116	0.3041600527
117	0.3034179492
118	0.3028788292
119	0.3019869839
120	0.3013728567
121	0.3003821644
122	0.3000877795
123	0.2995533616
124	0.2987684536
125	0.2980342841
126	0.2972874967
127	0.2966076954
128	0.2956449145
129	0.2951030161
130	0.2944904083
131	0.294072242
132	0.2936400264
133	0.2931943633
134	0.2927719297
135	0.2920985682
136	0.2915605214
137	0.2909847486
138	0.2907348637
139	0.2903052293
140	0.2900317553
141	0.2899011504
142	0.2898677596
143	0.2891107445
144	0.2887816558
145	0.2882894953
146	0.2878932478
147	0.2872370124
148	0.2869373718
149	0.2865022154
150	0.2859863265
151	0.285429127
152	0.2850016352
153	0.2847838464
154	0.2844359005
155	0.2837087851
156	0.283223257
157	0.2829342481
158	0.2826180096
159	0.2821919815
160	0.2816214886
161	0.2812339786
162	0.2808625028
163	0.2803689014
164	0.2798435752
165	0.2794635533
166	0.2794466534
167	0.2790420116
168	0.2787143126
169	0.2783986116
170	0.2780893614
171	0.2778077558
172	0.2774976577
173	0.2770260986
174	0.2766458488
175	0.2762542319
176	0.2760118062
177	0.275733559
178	0.2753821606
179	0.2751191129
180	0.2748385546
181	0.2743397001
182	0.2740575609
183	0.2737232482
184	0.2734215563
185	0.2730924394
186	0.2726402178
187	0.2721583964
188	0.27175874
189	0.2713342585
190	0.2711134955
191	0.2708616836
192	0.2706211111
193	0.2703613
194	0.2699809767
195	0.2697995279
196	0.2695255535
197	0.2691702473
198	0.2688144043
199	0.2683764966
200	0.2681730084
201	0.2678665063
202	0.2675779859
203	0.2674374303
204	0.267135638
205	0.2667390015
206	0.2663729605
207	0.2661614567
208	0.2657948136
209	0.2655914221
210	0.2653587039
211	0.2650408477
212	0.2648453508
213	0.264503388
214	0.264035526
215	0.2638330035
216	0.2636105884
217	0.2633024853
218	0.2629724728
219	0.2627313725
220	0.2624401198
221	0.2621905983
222	0.261826831
223	0.2616369661
224	0.2614247657
225	0.2610539695
226	0.2608076411
227	0.2605638138
228	0.2603178594
229	0.2601399929
230	0.2598751254
231	0.2596580051
232	0.2594901648
233	0.2593222875
234	0.259040815
235	0.258831432
236	0.2585476933
237	0.258405129
238	0.2581910673
239	0.2580196101
240	0.2578245447
241	0.2575696242
242	0.2574086214
243	0.2572389191
244	0.2570205903
245	0.2568765717
246	0.2567408824
247	0.2565865459
248	0.2563483442
249	0.2561995444
250	0.255994103
251	0.2557050646
252	0.2555359952
253	0.2552661544
254	0.2550869778
255	0.254825731
256	0.2546474654
257	0.2544416675
258	0.2542293615
259	0.2540229924
260	0.253784041
261	0.2535828959
262	0.2532876186
263	0.2530331145
264	0.2527952169
265	0.2525787724
266	0.2523082898
267	0.2521356752
268	0.2519582146
269	0.2517672713
270	0.2515361562
271	0.2514248902
272	0.2512229114
273	0.25102273
274	0.2508822638
275	0.2507031038
276	0.2505652459
277	0.2502739649
278	0.2501697805
279	0.250029111
280	0.2498365185
281	0.2496735513
282	0.2494521384
283	0.2492957399
284	0.2491289476
285	0.2490435291
286	0.2488709821
287	0.2486382887
288	0.2484843796
289	0.2483614796
290	0.2481867627
291	0.2480353158
292	0.2479249778
293	0.24779457
294	0.2475957844
295	0.2473509824
296	0.2471370917
297	0.2470203854
298	0.2469582974
299	0.246815915
300	0.2465896083
301	0.246364616
302	0.2463136515
303	0.2461846796
304	0.246078765
305	0.2459281094
306	0.245755426
307	0.2456248793
308	0.2455031681
309	0.2453221411
310	0.2451557277
311	0.2450582257
312	0.2448833632
313	0.244792949
314	0.2446802149
315	0.2445789335
316	0.2444768056
317	0.2443033749
318	0.2441505355
319	0.2439176411
320	0.2438220873
321	0.2436625392
322	0.2434553858
323	0.2432532461
324	0.243143701
325	0.2430604526
326	0.2429166253
327	0.2426984718
328	0.2425706044
329	0.2424361261
330	0.242326144
331	0.2421697219
332	0.2420534485
333	0.2419024033
334	0.2417681722
335	0.2417153314
336	0.2415284727
337	0.2414264385
338	0.2412882755
339	0.2411822539
340	0.2410701387
341	0.2409312099
342	0.2408329332
343	0.2406809154
344	0.2405617714
345	0.2403622009
346	0.2402561345
347	0.240139693
348	0.2400919033
349	0.2399809373
350	0.239893392
351	0.2397657974
352	0.2396294936
353	0.2395162352
354	0.2394544349
355	0.2393119763
356	0.2392542331
357	0.2391983239
358	0.2391173619
359	0.2389511219
360	0.2388395896
361	0.2386532959
362	0.2384909825
363	0.2384688315
364	0.2383411598
365	0.2382108643
366	0.2381271132
367	0.2380497441
368	0.2378684469
369	0.2377371783
370	0.237584747
371	0.2374521176
372	0.2373296337
373	0.2372103414
374	0.2371092691
375	0.2370459481
376	0.2368848568
377	0.2367692261
378	0.2366325045
379	0.2365096063
380	0.2363980158
381	0.2363160566
382	0.2361676082
383	0.2360190639
384	0.235911423
385	0.2358169842
386	0.2356844027
387	0.2354988147
388	0.2353912995
389	0.2352472209
390	0.2351398132
391	0.2351012137
392	0.2350064215
393	0.234941527
394	0.2348820699
395	0.2347312393
396	0.2346308487
397	0.2345796392
398	0.2344675859
399	0.234404722
400	0.2343533322
401	0.2342460059
402	0.234197017
403	0.2341561626
404	0.2340936575
405	0.2340004064
406	0.2338232
407	0.2337091948
408	0.2336488181
409	0.233599948
410	0.2335038364
411	0.2333849905
412	0.2332625964
413	0.2330960079
414	0.2329545424
415	0.23286275
416	0.2327803836
417	0.2327060622
418	0.2326204634
419	0.2325182464
420	0.2324378565
421	0.2323367358
422	0.2322640264
423	0.2322182458
424	0.2321695598
425	0.2320457398
426	0.2319850898
427	0.2318465304
428	0.2317733619
429	0.2316965525
430	0.2316312639
431	0.2314998103
432	0.231440029
433	0.2313244883
434	0.2312355365
435	0.2311226236
436	0.2310372018
437	0.2309597297
438	0.230830882
439	0.230772517
440	0.2305948227
441	0.2305281177
442	0.2304105345
443	0.2302898691
444	0.2301957829
445	0.2301000821
446	0.2300506135
447	0.2299856472
448	0.2298879787
449	0.2297780839
450	0.2296326656
451	0.2295047494
452	0.2294405449
453	0.2293926117
454	0.2293025217
455	0.2292380609
456	0.2291188255
457	0.2290528804
458	0.2289197275
459	0.2288434929
460	0.2286629536
461	0.2285648792
462	0.2285202436
463	0.2284746653
464	0.2284096319
465	0.2283510917
466	0.2282586999
467	0.2281817039
468	0.2281288227
469	0.2280994027
470	0.2280112489
471	0.2278803416
472	0.2278018493
473	0.2276998186
