iter	Passed	Remaining
0	1	2466
1	3	2660
2	5	2538
3	6	2461
4	8	2453
5	9	2380
6	10	2322
7	12	2283
8	13	2253
9	14	2141
10	15	2117
11	16	2107
12	18	2101
13	19	2084
14	21	2084
15	22	2069
16	23	2015
17	24	2004
18	25	1995
19	26	1987
20	27	1954
21	29	1954
22	30	1952
23	31	1951
24	33	1951
25	34	1949
26	35	1947
27	37	1951
28	38	1946
29	39	1948
30	41	1950
31	42	1956
32	44	1956
33	45	1956
34	46	1954
35	48	1952
36	49	1951
37	50	1946
38	51	1942
39	53	1941
40	54	1937
41	55	1937
42	57	1950
43	59	1961
44	60	1961
45	62	1972
46	63	1972
47	65	1972
48	66	1974
49	67	1970
50	69	1966
51	70	1962
52	71	1959
53	73	1956
54	74	1953
55	75	1951
56	77	1949
57	78	1950
58	79	1951
59	81	1949
60	82	1946
61	83	1929
62	84	1925
63	85	1923
64	87	1922
65	88	1922
66	90	1928
67	91	1927
68	92	1925
69	94	1922
70	95	1918
71	96	1916
72	97	1902
73	98	1900
74	99	1899
75	101	1897
76	102	1896
77	103	1895
78	105	1893
79	106	1892
80	107	1890
81	109	1888
82	110	1882
83	111	1879
84	112	1870
85	113	1866
86	114	1865
87	116	1862
88	117	1860
89	118	1858
90	119	1857
91	121	1855
92	122	1853
93	123	1852
94	125	1850
95	126	1848
96	127	1847
97	128	1845
98	130	1842
99	131	1840
100	132	1838
101	133	1829
102	134	1827
103	136	1826
104	137	1824
105	138	1823
106	139	1822
107	141	1823
108	142	1823
109	144	1822
110	145	1821
111	146	1819
112	148	1817
113	149	1816
114	150	1815
115	151	1813
116	153	1812
117	154	1810
118	155	1808
119	157	1806
120	158	1806
121	159	1805
122	160	1800
123	162	1798
124	163	1798
125	164	1797
126	166	1797
127	167	1796
128	168	1795
129	170	1795
130	171	1795
131	173	1794
132	174	1793
133	175	1792
134	177	1790
135	178	1789
136	179	1789
137	181	1788
138	182	1786
139	183	1785
140	185	1784
141	185	1778
142	186	1768
143	187	1766
144	188	1765
145	190	1764
146	191	1763
147	192	1762
148	194	1761
149	195	1761
150	197	1762
151	198	1762
152	200	1761
153	201	1760
154	202	1760
155	204	1759
156	205	1759
157	207	1758
158	208	1756
159	209	1755
160	211	1754
161	212	1753
162	213	1751
163	214	1750
164	216	1748
165	217	1748
166	218	1740
167	219	1738
168	220	1737
169	221	1735
170	223	1734
171	224	1733
172	225	1732
173	227	1730
174	228	1730
175	229	1730
176	231	1728
177	232	1727
178	234	1727
179	235	1726
180	236	1725
181	238	1724
182	239	1723
183	240	1722
184	242	1721
185	243	1720
186	244	1718
187	246	1717
188	247	1716
189	248	1715
190	250	1714
191	251	1712
192	252	1711
193	254	1710
194	255	1709
195	256	1708
196	258	1706
197	259	1705
198	260	1704
199	261	1702
200	263	1701
201	264	1700
202	265	1699
203	267	1697
204	268	1695
205	269	1694
206	271	1693
207	272	1692
208	273	1690
209	274	1689
210	276	1687
211	278	1689
212	279	1688
213	280	1688
214	282	1687
215	283	1686
216	285	1685
217	286	1683
218	287	1682
219	289	1681
220	290	1680
221	291	1680
222	293	1678
223	294	1677
224	295	1676
225	297	1675
226	298	1673
227	299	1672
228	301	1671
229	302	1670
230	303	1669
231	305	1667
232	306	1666
233	307	1664
234	309	1663
235	310	1662
236	311	1661
237	313	1660
238	314	1658
239	315	1657
240	317	1656
241	318	1655
242	319	1653
243	321	1652
244	322	1651
245	323	1650
246	324	1648
247	326	1647
248	327	1646
249	329	1645
