CATEGORYID;ASSETID;ASSETDESC;P_MANUFACTURERID;P_MANUFACTURERID_DESC;DATEMANUFACTURE;NATIONALFACT;FIELDDESC;OWNER;OWNER_DESC;LOAI;LOAI_DESC;U_TT;U_TT_DESC;KIEU_DAPHQ;KIEU_DAPHQ_DESC;I_DM;I_DM_DESC;U_DM;U_DM_DESC;KIEU_CD;KIEU_CD_DESC;TG_CATNM;TG_CATNM_DESC;PHA;PHA_DESC;KIEU_MC;KIEU_MC_DESC;KNCDNMDM;KNCDNMDM_DESC;CT_DC;CT_DC_DESC
0110D00_MC;PC14KK_T_MC_1758;MC173_DNO;HSX.00529;LG - Korea;2015;TB040.00002;Ấn Độ;TB0631;Khách hàng;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1744;MC171_DSO;HSX.00311;Siemens;2014;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1745;MC172_DSO;HSX.00311;Siemens;2014;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1748;MC131_DSO;HSX.00311;Siemens;2014;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC-0110D00-MC640401;MC131_DMI ;HSX.00311;Siemens;2016;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1776;MC171_DRL;HSX.00311;Siemens;2013;TB040.00002;Ấn Độ;TB0631;Khách hàng;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1778;MC173_DRL;HSX.00311;Siemens;2013;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC-0110D00-MC1065330;MC112_DMI;HSX.00311;Siemens;2016;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1710;MC172_CJU;HSX.00015;.EEMC;2007;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1711;MC173_CJU;HSX.00015;.EEMC;2014;TB040.00002;Ấn Độ;TB0631;Khách hàng;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1712;MC131_CJU;HSX.00015;.EEMC;2007;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1713;MC132_CJU;HSX.00015;.EEMC;2007;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
0110D00_MC;PC14KK_T_MC_1756;MC171_DNO;HSX.00015;.EEMC;2007;TB040.00002;Ấn Độ;TB0632;Ngành điện;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
